Bombyx mandarina nucleopolyhedrovirus
Bombyx mori densovirus 5
Bombyx mori nucleopolyhedrovirus
Bordetella phage BIP-1
Bordetella phage BMP-1
Bordetella phage BPP-1
Bovine adeno-associated virus
Bovine adenovirus 6
Bovine adenovirus B
Bovine adenovirus D
Bovine herpesvirus 1
Bovine herpesvirus 4
Bovine herpesvirus 5
Bovine papillomavirus 7
Bovine papular stomatitis virus
Bovine parvovirus
Bovine parvovirus - 2
Bovine polyomavirus
Brochothrix phage A9
Brochothrix phage BL3
Brochothrix phage NF5
Bromus catharticus striate mosaic virus
Brucella phage Pr
Brucella phage Tb
Budgerigar fledgling disease virus - 1
Burkholderia phage AH2
Burkholderia phage Bcep1
Burkholderia phage Bcep176
Burkholderia phage Bcep22
Burkholderia phage Bcep43
Burkholderia phage Bcep781
Burkholderia phage BcepB1A
Burkholderia phage BcepC6B
Burkholderia phage BcepF1
Burkholderia phage BcepGomr
Burkholderia phage BcepIL02
Burkholderia phage BcepMigl
Burkholderia phage BcepMu
Burkholderia phage BcepNazgul
Burkholderia phage BcepNY3
Burkholderia phage DC1
Burkholderia phage KL1
Burkholderia phage KL3
Burkholderia phage KS10
Burkholderia phage KS14
Burkholderia phage KS5
Burkholderia phage KS9
Burkholderia phage phi1026b
Burkholderia phage phi52237
Burkholderia phage phi644-2
Burkholderia phage phiE12-2
Burkholderia phage phiE125
Burkholderia phage phiE202
Burkholderia phage phiE255
Burkholderia phage ST79
Cabbage leaf curl virus
Cafeteria roenbergensis virus BV-PW1
California sea lion polyomavirus 1
Callitrichine herpesvirus 3
Camelpox virus
Camelus dromedarius papillomavirus type 1
Camelus dromedarius papillomavirus type 2
Campoletis sonorensis ichnovirus
Campylobacter phage CP21
Campylobacter phage CPX
Campylobacter phage NCTC12673
Canary circovirus
Canary polyomavirus
Canarypox virus
Canine adenovirus A
Canine bocavirus
Canine circovirus
Canine minute virus
Canine papillomavirus 10
Canine papillomavirus 14
Canine papillomavirus 3
Canine papillomavirus 4
Canine papillomavirus 8
Canine papillomavirus 9
Canine parvovirus
Canis familiaris papillomavirus 2
Capra hircus papillomavirus 1
Capraria yellow spot Yucatan virus
Capreolus capreolus papillomavirus 1
Cardioderma polyomavirus
Caretta caretta papillomavirus 1
Casphalia extranea densovirus
Cassava mosaic Madagascar virus
Caulobacter phage CcrColossus
Caulobacter phage CcrKarma
Caulobacter phage CcrMagneto
Caulobacter phage CcrRogue
Caulobacter phage CcrSwift
Caulobacter phage phiCbK
Caviid herpesvirus 2
Cebus albifrons polyomavirus 1
Celeribacter phage P12053L
Cellulophaga phage phi10:1
Cellulophaga phage phi12:1
Cellulophaga phage phi12:2
Cellulophaga phage phi12a:1
Cellulophaga phage phi13:2
Cellulophaga phage phi14:2
Cellulophaga phage phi17:1
Cellulophaga phage phi17:2
Cellulophaga phage phi18:1
Cellulophaga phage phi18:3
Cellulophaga phage phi19:1
Cellulophaga phage phi19:3
Cellulophaga phage phi38:1
Cellulophaga phage phi39:1
Cellulophaga phage phi4:1
Cellulophaga phage phi46:1
Cellulophaga phage phi46:3
Cellulophaga phage phi48:2
Cellulophaga phage phiSM
Cellulophaga phage phiST
Centrosema yellow spot virus
Cercopithecine herpesvirus 2
Cercopithecine herpesvirus 5
Cercopithecine herpesvirus 9
Chaerephon polyomavirus 1
Chayote yellow mosaic virus
Chicken anemia virus
Chickpea chlorosis Australia virus
Chickpea chlorosis virus-A
Chickpea chlorotic dwarf virus
Chickpea redleaf virus
Chilli leaf curl virus
Chimpanzee adenovirus Y25
Chimpanzee polyomavirus
Chino del tomate virus
Chlamydia phage 1
Chlamydia phage 2
Chlamydia phage 3
Chlamydia phage 4
Chlamydia pneumoniae phage CPAR39
Chloris striate mosaic virus
Choristoneura biennis entomopoxvirus 'L'
Choristoneura fumiferana DEF multiple nucleopolyhedrovirus
Choristoneura fumiferana multiple nucleopolyhedrovirus
Choristoneura occidentalis alphabaculovirus
Choristoneura occidentalis granulovirus
Choristoneura rosaceana alphabaculovirus
Choristoneura rosaceana entomopoxvirus 'L'
Chrysodeixis chalcites nucleopolyhedrovirus
Circovirus-like genome BBC-A
Circovirus-like genome CB-A
Circovirus-like genome CB-B
Circovirus-like genome RW-A
Circovirus-like genome RW-B
Circovirus-like genome RW-C
Circovirus-like genome RW-D
Circovirus-like genome RW-E
Circovirus-like genome SAR-A
Circovirus-like genome SAR-B
Citrus chlorotic dwarf associated virus
Clanis bilineata nucleopolyhedrovirus
Clavibacter phage CMP1
Cleome golden mosaic virus
Cleome leaf crumple virus
Clerodendron yellow mosaic virus
Clerodendrum golden mosaic China virus
Clerodendrum golden mosaic virus
